address,availability,bathroom,bedrooms,date_listed,date_update,furnished,gender,link,parking,pet,price,smoking,text,title,type_,user,views
Carlton VIC,09/12/2019,1 Bathroom,2 Bedrooms,15 hours ago,15 hours ago,Yes,,https://www.gumtree.com.au/s-ad/carlton/property-for-rent/furnishd-2-rm-hse-central-carlton-suit-3-working-travelers/1235055497,Street,No,$175,No,"Heart of Carlton.Faraday St. two room/living room cottage for 3/4 friends happy to share.,No need to catch trams or buses.. walk everywhere!,For those who want a whole cottage to themselves; in the centre of Carlton on Faraday St!,5 mins walk to Melb Uni.. 15 mins walk to cbd, Royal Melbourne Hospital, walk to Lygon street restaurants..mmm.. smell Brunetti's Coffee ..,* Cosy furnished little cottage in the centre of Carlton,includes;,* Bedroom with double bed.,* single bed in front room,*timber floors.,*wifi available.,*courtyard out the back to enjoy in the summer.,Currently let to three friends from the Germany/ America.,* Suits three/ four friends,/working travellers wanting to share a house to themselves.and no bond,Rent is $175 pw each for three friends sharing Or $160 pw each for four.,If interested, email details; what do you do? Where from? Till what date?",Furnishd 2 rm Hse. Central Carlton.Suit 3 working travelers,House,"Viv,Gummie since, ,2008","35, , views"
13 Juncus street Narre Warren VIC 3805,02/12/2019,3 Bathrooms,4 Bedrooms,14 hours ago,14 hours ago,Yes,,https://www.gumtree.com.au/s-ad/narre-warren/property-for-rent/narre-warren-house-for-rent/1235056040,Covered,No,$200,No,"Spacious bedrooms in a brand new townhouse in the heart of Narre warren. 1km to Narre warren station. 2km to fountain gate shopping center. Looking for a single person. You should be very clean and tidy. You will be sharing the bathroom with the other person. The house is very well furnished. And it is clean, quite and lovely house to stay. Feel free to come for inspection and contact me if you have any doubts.",Narre Warren house for rent,House,"yuchan,Gummie since, ,2019","72, , views"
"11 Milne St, Templestowe VIC 3106, Australia",10/12/2019,1 Bathroom,2 Bedrooms,15 hours ago,15 hours ago,Yes,,https://www.gumtree.com.au/s-ad/templestowe-lower/property-for-rent/private-room-available-for-rent-in-2bhk-in-templestowe-melbourne/1235055138,Covered,No,$600,Yes,"A private room is available in a 2BHK unit in Templestowe, Melbourne from 10th December till lease-end (February-end).,The unit is fully furnished and the total expenses (including rent and all shared bills - electricity, water and WiFi) is around AU$ 600 per month.,For more details please contact (call/SMS/WhatsApp/Messenger):,Aniket - ********** 549,Nikhil - ********** 074","Private room available for rent in 2BHK in Templestowe, Melbourne",Apartment & Unit,"Nikhil Rodrigues,Gummie since, ,2018","8, , views"
"43 Emerald Circuit, Craigieburn VIC 3064",03/12/2019,3 Bathrooms,3 Bedrooms,16 hours ago,16 hours ago,No,,https://www.gumtree.com.au/s-ad/craigieburn/property-for-rent/house-for-rent/1235054293,Covered,No,$450,No,"Three Bed Room House avaialble on 03/12/2019. We r looking for Indian Family who will look after neat and clean the property. This double storey family house 3 Bed Room , 3 Bathroom . 43 Emerald Circuit, Craigieburn, Vic , 3064. The home is designed with family living in mind. Downstairs consists of a family room plus dining area, kitchen with plenty of cupboard space and stainless steel appliances, master bedroom with full ensuite and walk in robe plus another 1 bedroom with Built-In-Robe, study, bright third bathroom, and a roomy laundry. Upstairs boasts another master bedroom with full ensuite and Walk-In-Robe, retreat area/ rumpus room!! Gas wall furnace, evaporative cooling, split system air con, solar panels, Double garage coming out to a huge backyard . Avialable on 3/12/2019. Rent 450 Pw .Bond $2100 . Pet and Smoking not allowed ..,Vegeterian Family Prefferd .,Call for inspection . Please ring us if anyone intrested . it will be open for inspection Tuesday 3/12/2019 Morning between 11am to 12.30 pm ..If any one intrested on tuesday Please let us know ... Inspection Saturday Morning 11am to 12 pm .. If any intresred call us ...,Mr Singh,******7618",House for rent,House,"aman,Gummie since, ,2012","69, , views"
alice way,,1 Bathroom,2 Bedrooms,12 hours ago,12 hours ago,,,https://www.gumtree.com.au/s-ad/tarneit/property-for-rent/lease-tansfer/1235057598,Covered,,"$1,456",,2 bedroom house available for lease transfer. Lease is expiring on 14th of june. Rent is $1456 PCM. Address:Alice way tarneit.,Lease tansfer,House,"malkit,Gummie since, ,2014","20, , views"
"58 Lyon Rd, Viewbank VIC 3084",14/12/2019,1 Bathroom,2 Bedrooms,9 hours ago,9 hours ago,Yes,,https://www.gumtree.com.au/s-ad/viewbank/property-for-rent/furnished-2-bedroom-house-for-rent-near-rosanna/1235058321,,,$325,,"Furnished house available at 325/w,2 Bedrooms, 1 bathrooms.,Air conditionining,Next to Park.,General Features,Bedrooms:2,Bathrooms:1,Bond:$1300,Secure Parking,3 minutes walk to bus stop,5 minutes drive to train station",Furnished 2 bedroom house for rent near Rosanna,,"Pramesh,Gummie since, ,2016","17, , views"
forest hill,,,1 Bedroom,Yesterday,21 hours ago,Yes,,https://www.gumtree.com.au/s-ad/melbourne-cbd/property-for-rent/408-lonsdale-st-spacious-furnished-studio-apartment-for-rent/1235003094,,No,$360,No,"408 Lonsdale St Spacious FURNISHED STUDIO APARTMENT For Rent,Situated in the heart of the CBD, this furnished studio apartment offers Taylors College, RMIT University, shops, cafes, restaurants, and transport at your doorstep. Light, bright and airy this apartment comprises lounge/living/dining/bedroom area with double bed, separate kitchen with electric cooking, bathroom with a large sized shower, intercom, communal laundry and security access.,Excellent location; large sized studio. Size is equivalent to many 1 bedroom apartments.,Contact for inspection or any queries.,Available from 1 January. 12 month lease preferred.,Sent from my iPhone",408 Lonsdale St Spacious FURNISHED STUDIO APARTMENT For Rent,,"Leyton,Gummie since, ,2014","62, , views"
upon request,01/12/2019,1 Bathroom,3 Bedrooms,Yesterday,Yesterday,No,,https://www.gumtree.com.au/s-ad/keilor-east/property-for-rent/room-for-rent-in-keilor-east/1235004499,Off Street,No,$717,No,"Hi all,M offerings one bedroom for rent to one Indian or two indian / Nepali girls/Indian/Nepali couple.,House has 3 bedrooms but you would share house only with one female.,house is near to bus stop,all the amenities are on walking distance,you can share all the household items.unlimited NBN internet is available.,Available for neat and clean people and only serious enquires plz.,Rent is 717/ m excluding bills and bond also required.,Note: Not for Single Males,If its sound great don’t hesitate to buzz,Thx,Cheers!!",Room for rent in Keilor East,House,"sandy,Gummie since, ,2015","7, , views"
"65 dudley street,3003",06/12/2019,1 Bathroom,1 Bedroom,24 hours ago,24 hours ago,Yes,,https://www.gumtree.com.au/s-ad/melbourne-cbd/property-for-rent/30-aud-per-day-shared-accomodation-for-a-girl-in-melbourne-cbd/1235006436,Street,Yes,$30,No,"Shared accomodation available for 1 girl in a 1bhk apartment in Melbourne cbd . one girl is already staying at the apartment,address is 65 Dudley street ,West Melbourne,3003.,Available from 6dec-27dec .,Amenities:,Building has a heated swimming pool, gym. Apartment has dishwasher, washing machine , dryer.,I have two pet rabbits at home.,Anyone interested please call ******7546",30 aud per day shared accomodation for a girl in Melbourne cbd,Apartment & Unit,"abhishek nayak,Gummie since, ,2014","11, , views"
"538 Little Lonsdale Street, Melbourne VIC",09/12/2019,1 Bathroom,1 Bedroom,24 hours ago,24 hours ago,Yes,,https://www.gumtree.com.au/s-ad/docklands/property-for-rent/private-room-for-rental-in-2-bedroom-city-apartment/1235009822,None,No,$270,No,"I’m a homeowner and a young professional living in the city looking for a female roommate to share this amazing apartment.,Description of the home,Share in a comfortable 2 bedroom apartment with a massive outdoor which is unique for city living.,Features,* Bedroom comes with BIR,* Kitchen is spacious and ideal for someone who loves to cook. It is equipped with high quality appliances.,* Spacious Bathroom is equipped with separate shower and bath,* Huge terrace (33sqm) with city view complete with outdoor furniture and BBQ,* Equipped with gym,sauna and jacuzzi,* Security with two security doors,* Stone's throw away from Southern Cross Station and various tram stops,* 3 minutes away from COLES with Asian grocery,* A 10 minutes walk away from fresh produce at the famous Victoria Market,* Enjoy a picnic,jog or relax at the nearby Flagstaff garden,* Close proximity to Docklands,* Cafe downstairs the apartment,If you have a car, there's always someone advertising for car park rent ( approximately $100/month),Home features,Bills and expenses,Electricity and water bills are shared equally (Average about $100-150/monthly),The lease will be available on 9/12/19 for minimum six months.",Private room for rental in 2 bedroom city apartment,Apartment & Unit,"PhehSze,Gummie since, ,2019","65, , views"
"Lamington Dr, Tarneit VIC 3029, Australia",,,,23 hours ago,23 hours ago,,,https://www.gumtree.com.au/s-ad/tarneit/property-for-rent/room-for-rent/1235013458,,,$550,,"One room is available in tarneit.,550$ for single person and 700 for couple included all bills thanks",Room for rent,,"Vicky,Gummie since, ,2019","16, , views"
"1768 Dandenong road, Clayton",10/01/2020,1 Bathroom,1 Bedroom,23 hours ago,19 hours ago,Yes,,https://www.gumtree.com.au/s-ad/clayton/property-for-rent/room-for-rent-clayton/1235014431,,No,$575,No,"Room for rent near Monash University (Clayton Campus),Room is available from 10th January 2020.,Ours is 2bedroom house, one bedroom is for rent and will be available as mentioned above .,Single room preferably tor a Girl.,30seconds walk to Bus stop.,1min walk to McDonald’s.,5min Walk to Monash University.,4minutes drive to IKEA.,Street parking available.,P",Room for Rent -Clayton,Townhouse & Villa,"Srivani,Gummie since, ,2015","31, , views"
Dandenong VIC,22/12/2019,1 Bathroom,2 Bedrooms,23 hours ago,23 hours ago,No,,https://www.gumtree.com.au/s-ad/dandenong/property-for-rent/2-bedroom-apartment/1235018575,Covered,No,$270,No,"Close to aldi , dandenong market and dandenong plaza,All public transport close,Convenient location,Call Elma ******8819,No emails call only option",2 Bedroom Apartment,Apartment & Unit,"Harry,Gummie since, ,2012","64, , views"
83 drummond st,15/12/2019,1 Bathroom,1 Bedroom,23 hours ago,23 hours ago,,,https://www.gumtree.com.au/s-ad/oakleigh/property-for-rent/transfer-lease-410-w-oakleigh-chadstone-shopping-centre/1235019367,Covered,,$410,,"Hi,The spacious and cosy one-bedroom apartment with 1study room and private carpark. The kitchen is well equipped with gas stove, oven and dish washing machine. It’s highly secure with door entrance card,The location is perfect. With just 10 min walking distance from Chadstone shopping centre , Oakleigh station, Oakleigh shopping centre.,I’m looking to transfer the lease of this lovely apartment due to changed workplace.,The rent is $410 per week excluding bills and bone is $1782,Lease period ends Oct.2010 you can extend period.,It’ll be available from 15th of Dec.,If you think this is what you are looking for, please contact me.,******5855",Transfer lease $410/w Oakleigh.Chadstone shopping centre,Apartment & Unit,"Raina,Gummie since, ,2013","54, , views"
5 molland court,04/11/2019,1 Bathroom,2 Bedrooms,22 hours ago,22 hours ago,Yes,,https://www.gumtree.com.au/s-ad/craigieburn/property-for-rent/2-rooms-available-for-rent/1235024567,Street,No,$600,Yes,"2 rooms available with beds and all furniture in it and its near bridgewater road 2 mins walk to bus stand,$600 for each room with all bills in it wifi available too AC and heater availabe",2 rooms available for rent,House,"gill,Gummie since, ,2018","17, , views"
Lalor VIC,,,,22 hours ago,22 hours ago,,,https://www.gumtree.com.au/s-ad/lalor/property-for-rent/in-need-of-a-3-or-4-bedroom-house-to-rent/1235026637,,,$400,,Single mum with kids looking to rent a 3 or 4 bedroom house in the northern suburbs.,IN NEED OF A 3 or 4 BEDROOM HOUSE TO RENT,,"Jenna,Gummie since, ,2018","22, , views"
Richmond VIC,10/12/2019,1 Bathroom,Studio or Bachelor Pad,22 hours ago,22 hours ago,Yes,,https://www.gumtree.com.au/s-ad/richmond/property-for-rent/fully-furnished-studio-apartment-in-the-charlie-building-richmond/1235021554,Covered,Yes,$400,,"Set back 100 metres from Bridge Road, this building is one of the most popular in all of Richmond. This brilliant studio apartment consists of all brilliant fixtures and fittings, including split system heating and cooling, carpet throughout, built in robes and a private balcony with fantastic views to the East. It also comes with one underground parking slot and one spacious storage cage. The complex itself provides resort style amenities that include a pool deck with views, gymnasium, security entrance and guest parking. Social infrastructure at your doorstep with Bridge Roads cafes, restaurants and shops only a stones throw away. Several affordable and efficient transportations including trams, buses and the Uber Pool service are available within only minutes’ walk for your everyday trips into and from the CBD area (normally for not greater than 5 AUD per trip).,The studio will be available from 10th of December, 2019. A discounted weekly rent of 400.00 AUD (or 1738.10 AUD per month) applies until 15th of May, 2020, and after which a new contract should be negotiated and formed with the landlord if the extension of lease was desired. Six weeks of security bond is payable at the settlement of lease. One hundred points identification documents and good tenancy references are essential for the application.,The discounted rent does NOT include utilities and water. However, free Telstra Air internet is available if you are a Telstra member.,Smoking is only allowed outside, and pets need to be registered with the apartment management.,If you are interested, please contact zhu******@******com or pen******@******com with your name, contact and preferred inspection times. We will get back to you as soon as possible.",Fully Furnished Studio Apartment in the CHARLIE Building Richmond,Apartment & Unit,"Jack WANG,Gummie since, ,2013","36, , views"
Essendon VIC,30/11/2019,1 Bathroom,2 Bedrooms,21 hours ago,21 hours ago,No,,https://www.gumtree.com.au/s-ad/essendon/property-for-rent/nice-2-bedroom-apartment-essendon/1234838963,Off Street,No,$350,No,"Recently refurbished two bedroom apartment close to bus and shops. New carpet in Bedrooms, both have built in Robes. Floating timber floor through lounge and kitchen. Functional and clean kitchen with electric cooktop and oven and large pantry. Fridge can be provided with the above rent at no charge.Fully tiled bathroom with cupboard storage and also washing machine and dryer provided.,Reverse cycle airconditioning in lounge area and small balcony adjacent.,Unit is elevated but on ground floor. Security Entrance with intercom. Off street parking at rear. (church across the road),Bus stop at the front door (to essendon train station) and 5 mins walk to tram and essendon shopping centre.,Unfurnished and ready to go.,4 weeks bond is required and 4 weeks in advance. Work and rental references are an advantage, 12 month lease preferred.,Bill (owner) ******** 682",Nice 2 Bedroom Apartment Essendon,Apartment & Unit,"bill,Gummie since, ,2017","50, , views"
"1/6 Breadalbane court, Sydenham 3037",01/12/2019,2 Bathrooms,3 Bedrooms,21 hours ago,21 hours ago,,,https://www.gumtree.com.au/s-ad/sydenham/property-for-rent/house-for-rent/1235032830,Covered,,$0,,"2 rooms available for a rent in Sydenham.5 mints walk to watergardens station and shopping centre can move anytime.call or text on ******4524,Harpreet",House for rent,House,"Harpreet,Gummie since, ,2015","22, , views"
Toorak VIC 3142,22/12/2019,1 Bathroom,1 Bedroom,21 hours ago,7 hours ago,No,,https://www.gumtree.com.au/s-ad/toorak/property-for-rent/toorak-apartment-for-rent/1235033126,Off Street,No,$430,No,"Set amongst prestigious homes in Toorak, this bright and spacious 1BR apartment with its unique features is a rare find indeed! In a boutique block of only 3, occupying the entire ground floor, this apartment comprises: a bedroom with full-length mirrored built-in wardrobe and a huge separate lounge/living room, both of which are serviced by separate split-system reverse-cycle air-conditioners and feature floor-to-ceiling timber panelling that is usually found only in unaffordable manor houses. The sun-drenched north-facing lounge room opens up through a pair of double french-doors to a private low-maintenance courtyard that is perfect for al fresco entertainment or just simply unwinding in the sun. Travertine floor tiles line the entry foyer, bathroom/laundry and a kitchen that opens onto a second private courtyard. Video intercom to the front gate, and a secure off-street parking behind remote-controlled gates complete the package. It is conveniently located midway between the fashionable Toorak Village and the family-oriented Hawksburn Village, with easy access to all modes of transport. The apartment will be available from around the 22nd December. $430/week and $2,580 bond. Sorry, no pets and smokers please. Enquiries welcomed to arrange a private viewing of the property.",Toorak Apartment for Rent,Apartment & Unit,"albert,Gummie since, ,2014","65, , views"
"570 Lygon Street, Carlton Melbourne, VIC",11/12/2019,1 Bathroom,Studio or Bachelor Pad,20 hours ago,20 hours ago,Yes,,https://www.gumtree.com.au/s-ad/carlton/property-for-rent/s1211-570-lygon-street-carlton-3053-apartment-dec-11-2019-onwards-/1235034701,,,"$1,607",,"Apartment in College Square on Lygon,$1,607 rent per month,Gas included,Large fully equipped Gym included in building (Squat rack, new treadmills, ect),Study rooms and lounge room included in building,Furnished apartment includes:,- Black sofa,- TV and TV stand,- Desk and chair,- Bed frame and mattress,- 2 bed side tables,- New microwave oven,- Toaster,- Kitchen table and 2 chairs,- Fridge,- LOTS of storage space,Quiet place, never had any distruptions while studying,Moving to Canada,Can rent for 2 months until Feb 1 2020 or begin rent on Dec 11 2019 onwards,** If you plan to move in on Dec 11 2019, can have all decorations (photo frames, comforters and bed set, pillows, dish rack, full length IKEA mirror, decorative throw pillows, fake plant) for free**",S1211/570 Lygon Street Carlton 3053 Apartment (Dec 11 2019 onwards),Apartment & Unit,"AP,7, ,ads,Gummie since, ,2017","23, , views"
"53 Theodore St, St Albans VIC 3021, Australia",,1 Bathroom,3 Bedrooms,20 hours ago,20 hours ago,Yes,,https://www.gumtree.com.au/s-ad/st-albans/property-for-rent/room-for-rent-for-500/1235037658,Street,Yes,$500,No,"good bedroom new house.... 1 kitchen and 2 toilets 1 bathroom ..,we are 3 guys living , and looking for 1 other guy,Can come and inspect anytime weekend and after 4 pm all other days on weekdays.,text or call on ******7385.",ROOM FOR RENT for $500,Townhouse & Villa,"Honey Jakhu,6, ,ads,Gummie since, ,2014","20, , views"
"Swanston St, Melbourne VIC 3000, Australia",,,,20 hours ago,20 hours ago,,,https://www.gumtree.com.au/s-ad/carlton/property-for-rent/city-centre-studio-apartment/1235038239,,,$350,,"Swanston Street , 1 Bedroom Studio Apartment with large windows. The ground floor connects directly to Melbourne Central Station. Partly furnished with Gas appliances, Fridge, Microwave, kettle.,$1517 monthly / $360 Weekly. Ability to pay rent and proof of income is a must.,Brilliant price, landlord pays for gas & water usage, which makes 2 bills less you need to pay from other city apartments. The electricity is the only bill.,Suitable for a professional couple / students with a young baby. Brilliant location. Applicants need to have one month's rent upfront & one month rent for Bond ( RTBA),Occupancy mid to end December. Weekly rent is only $350 most apartments of similar size are a hundred dollars more.",City Centre Studio Apartment,,"Mo Han,11, ,ads,Gummie since, ,2009","57, , views"
collins street,01/01/2020,1 Bathroom,1 Bedroom,Yesterday,Yesterday,Yes,,https://www.gumtree.com.au/s-ad/melbourne-cbd/property-for-rent/apartment-for-lease-transfer/1234958460,Street,Yes,$500,No,"30th floor 2 room apartment available,568 Collins street, in the heart of the city,2 min from Southern cross station,Under free tram zone,Loved this place as the sunset and sunrise you can never miss ",Apartment for lease transfer,,"Gumtree user,8, ,ads,Gummie since, ,2016","68, , views"
"Dandenong, VIC",01/12/2019,2 Bathrooms,3 Bedrooms,Yesterday,Yesterday,,,https://www.gumtree.com.au/s-ad/dandenong/property-for-rent/house-for-rent/1234960082,LUG,No,$360,No,"3 bedroom house for rent walk to Dandenong station, shopping centre, restaurants, sports facilities, tafe.,2 toilets, shed, carport, you must call to discuss inspection appointment *******4879.",House for Rent,House,"ANNIE,Gummie since, ,2012","169, , views"
"Hawthorn East VIC 3123, Australia",03/12/2019,2 Bathrooms,2 Bedrooms,Yesterday,19 hours ago,,,https://www.gumtree.com.au/s-ad/hawthorn-east/property-for-rent/new-renovated-unit-for-lease/1234960764,Covered,No,$580,No,"Most convenient location in 840 Toorak road, next door to Toronga shopping centre.,Two large bed rooms, one large sitting room, marble bench kitchen room with bar table.,Two shower rooms, two car parking with cover,Furniture is optional with wash machine, dryer, refrigerator, TV etc.,All rooms in new polished timber floor.,Available from 03/Dec 2019 inspection in appointment.,580 per week renovation finished today, photo will be updated tomorrow.",New renovated unit for lease,Apartment & Unit,"Steven,Gummie since, ,2014","35, , views"
clayton,01/12/2019,1 Bathroom,2 Bedrooms,Yesterday,20 hours ago,,,https://www.gumtree.com.au/s-ad/springvale/property-for-rent/house-for-lease/1234967487,Street,,"$1,500",,"3 bedroom house for rent in Noble Park.It has big living area and very close to school,shops and train station . Available from 1 December.,Inspection,Address-15 PAMELA st noble Park,Thanks,Harjinder,******3434",House for lease,House,"harjinder singh,Gummie since, ,2015","60, , views"
Box Hill VIC,01/12/2019,1 Bathroom,2 Bedrooms,Yesterday,Yesterday,No,,https://www.gumtree.com.au/s-ad/box-hill/property-for-rent/box-hill-rear-unit-2-bedrooms-inc-bills-for-rent/1234965577,Off Street,No,$330,No,Box Hill self contain 2 bedrooms rear unit for rent include bills $330 per week. Please call to arrange inspection.,Box Hill rear unit 2 bedrooms Inc. bills for rent,House,"Konnie,Gummie since, ,2009","45, , views"
60 damask drive tarneit,01/12/2019,2 Bathrooms,3 Bedrooms,Yesterday,Yesterday,Yes,,https://www.gumtree.com.au/s-ad/tarneit/property-for-rent/room-for-rent/1234970488,,,$450,No,we are couple and we have a room for rent for punjabi girl. vegetarian preferred. 5 min walk to tarneit station and shopping centre. rent 450 without bills.,Room for rent,House,"satwinder,Gummie since, ,2015","41, , views"
Taylors Lakes VIC 3038,16/12/2019,1 Bathroom,Studio or Bachelor Pad,Yesterday,Yesterday,No,,https://www.gumtree.com.au/s-ad/taylors-lakes/property-for-rent/studio-apartment/1234968369,Off Street,No,$200,,"Converted back room into studio apartment. It is very big for single and can be for two people also. Seperate entrance door. cooking is on protable hotplate.,additional $ 100 for bills per month per person.",studio apartment,Apartment & Unit,"Durga,Gummie since, ,2014","112, , views"
Docklands VIC,06/12/2019,1 Bathroom,2 Bedrooms,Yesterday,Yesterday,,,https://www.gumtree.com.au/s-ad/docklands/property-for-rent/2-bedroom-apartment-for-rent-in-docklands-melbourne/1234973685,Covered,,$600,,"Located in the heart of Vibrant Docklands.,Free tram stop at your door steps. Airport Skybus stop is close to the apartment building. Close to public transport and easy access to the Citylink and Highways.,Close to Victoria Harbour, Harbour Town shopping centre, Melbourne Eye, Costco giant shopping complex, cinemas, restaurant, café, banks, parks and all sorts of amenities.,Features includes heated swimming pools, gyms, cinemas, guest entertaining full equipped kitchen & rooms, snooker table, library, meeting rooms, conference rooms, BBQ area, gardens and etc.,","2 bedroom apartment for rent in Docklands, Melbourne",Apartment & Unit,"Jennifer,Gummie since, ,2013","23, , views"
"Endeavour Hills, VIC",16/12/2019,1 Bathroom,3 Bedrooms,Yesterday,Yesterday,No,,https://www.gumtree.com.au/s-ad/endeavour-hills/property-for-rent/3-bedroom-house-for-lease-in-endeavour-hills/1234979258,Covered,Yes,$350,,"68 Heatherton Rd Endeavour Hills 3 Bedroom House For Lease $350 per week. Open this Thursday 5 of Nov 5:55pm,Please visit Realestate website for more detail.",3 Bedroom  house for Lease in Endeavour Hills,House,"Robina Sarwar,13, ,ads,Gummie since, ,2016","64, , views"
"Rae Street, Fitzroy North VIC 3068",18/11/2019,1 Bathroom,Studio or Bachelor Pad,Yesterday,Yesterday,,,https://www.gumtree.com.au/s-ad/fitzroy-north/property-for-rent/unique-opportunity-to-join-beautiful-warehouse-in-fitzroy-north/1233999219,Street,,$480,,"Opportunity to Join Adored Warehouse Home in Fitzroy North,You will have the whole upstairs space to yourself (larger than a studio apartment), with built in robes, heating, AC, heaps of light which gets golden hour through the windows, adjoining to your own private ensuite with bathtub. The size of this space is a huuuge 7.7m x 5m, not including the stair landing or Ensuite. The upstairs portion of rent is $2064 due on the 9th of each month - which could be just your portion, or split if you want to share room. This works out to be ~$475/weekly for the space.,It's a very transformative space and an absolutely beautiful home to live in. Our previous housemates moved due to a sudden 'can't say no' job opportunity in Geneva - who knows where this space may lead you!,There is the possibility of sharing the space, although it'd be your responsibility to collaborate with us on the logistics and practicalities of this. Please reach out if you are interested in this and let us know that you would be looking to share.,The Warehouse & Living Here Perks:,- Shared use of the beautiful and huge pre-established warehouse space downstairs - Hammock chairs, open plan dining and kitchen, couch, heaters and bean bags. Super cosy and beautiful!,- Open Plan Rustic Kitchen with Stainless Steel Fridge, Oven, Dishwasher, Gas Stove,- Heating Throughout,- Lovely Courtyard with a newly planted Wattle Tree,- Parking Permit for your use if you need it - there's always parking on the street.,- Alternative Backdoor Entry for you near the stairs to your private floor,- A lovely dynamic and balance between meaningful social connection, and time to retreat and recharge with those you will be sharing with.,The Logistics:,- Rent for the upstairs is $2064 due by the 9th of every month, with the option of a couple joining our home, or sharing the space with another.,- This excludes bills. Internet is 60/month shared between tenants (so around 15/month) and the others aren't expensive. We split these as they arrive.,- Sublet available from now, until Feb 9 when lease is renewed - the real estate have asked for you to sign a sublet contract until you sign on the lease in Feb.,- We're looking to find someone who envisions calling this place home longer term and who will join us on the lease renewal in Feb.,We are open to share with any one, or couple, who feels this is calling to you and may share our values.,About Us:,My name is Angela, I am a multidisciplinary artist & creative consultant on a path of healing. I find my flow painting, listening to music, and curating beauty in my life.,Aled who is in the downstairs room next to mine is a sound healer, meditation teacher & ecstatic dance lover.,We keep a very peaceful & lovingly open house - we like living in a way that feels authentic and free. There's lot's of space to enjoy here.,We are looking for a considerate, curious, self aware, intuitive, playful, grounded and gentle person or couple to join our home. Please do reach out if this seems like you!,To arrange a time to view the space, Please message and cover the following:,- A little about yourself,- What's most present for you, in your life lately?,- What's your lifestyle like?,- What ""would"" you being doing with your life, if you ""could""? How does your life reflect this at the moment?,- When would you like to move in?,Look forward to hearing from you!",Unique Opportunity to Join Beautiful Warehouse in Fitzroy North,Other Rentals,"Angela,Gummie since, ,2015","61, , views"
"South Yarra, VIC",14/12/2019,1 Bathroom,2 Bedrooms,Yesterday,Yesterday,No,,https://www.gumtree.com.au/s-ad/south-yarra/property-for-rent/apartment-for-lease-2-837-glenhuntly-rd-south-caulfield/1234974177,LUG,No,$420,No,"Spacious bright and moden 1st floor 2 bedroom aparrtment above a shop on Glenhuntly Road, Caulfield South. Reverse cycle heating/cooling, one small balcony of one bedroom, and a spacious front balcony of the open plan living area floor above bedrooms. Floor boards, kitchen with dishwasher, Euro laundry and much more, including secure car parking at rear. Windows double glazed, so quiet enjoyment.",APARTMENT FOR LEASE - 2/837 GLENHUNTLY RD. SOUTH CAULFIELD,Apartment & Unit,"Yvonne,4, ,ads,Gummie since, ,2011","25, , views"
"11 Rose Lane, Melbourne VIC",08/12/2019,,2 Bedrooms,Yesterday,Yesterday,Yes,,https://www.gumtree.com.au/s-ad/docklands/property-for-rent/modern-flatshare-for-guys-opposite-southern-cross/1234981272,,,$160,,"Perfectly located 2 bedroom apartment that is spacious and light filled with great views towards the Etihad Stadium. Added benefits include fantastic facilities such as a gym and swimming pool with spa available for residents use,Lots of cafe, restaurant, shops, banks and grocery shop all around. Transportation is very convenient with the train and tram station nearby.,Apartment has large and open living and dining area. It is fully furnished with washer, dryer, oven, dishwasher, fridge etc. Even bedsheet and linen are provided, so just bring in your luggage and enjoy the city life. Rental is $ 150 - 170 per bed per room per week include all bills, comes with Telstra broadband too. 3 beds available from 8th Dec.,Facilities include Gym, Swimming Pool and Spa for residents only.",Modern Flatshare for Guys Opposite Southern Cross,Apartment & Unit,"Logan,Gummie since, ,2019","27, , views"
"22 Coventry Drive, Werribee VIC",01/12/2019,1 Bathroom,3 Bedrooms,Yesterday,Yesterday,No,,https://www.gumtree.com.au/s-ad/werribee/property-for-rent/house-for-rent-in-werribee/1234975406,Covered,No,$350,,"House for rent.,Close to Werribee station,$350/week,1 month bond,Must be employed and have a work reference,Would also like a rental reference,~5min bus to Werribee station,~2mins walk to KFC, 7 Eleven,~5mins walk to Ultra Tune,~7mins walk to Wyndham Vale Pharmacy,~10mins walk to Werribee Race Course,No time wasters - only genuine people who can afford rent and who are reliable need apply.,******** 280 (Shayne) please text only before 4pm",House for rent in Werribee,,"Shayne,Gummie since, ,2016","71, , views"
Eltham VIC,01/01/2020,,,Yesterday,Yesterday,,,https://www.gumtree.com.au/s-ad/eltham/property-for-rent/wanted-self-contained-unit-granny-flat-around-north-eastern-area/1234981530,,,$250,,"Hello,,I'm looking to rent a self contained unit or granny flat around the north eastern area. This includes Heidelberg, Eltham, Lower Plenty, Templestowe, Fairfield.,Ideally looking for something with bills included in a nice, quiet and safe area. Looking to move in early January.,Please don't hesitate to contact if you have a property like this available!",Wanted: self contained unit/granny flat around north eastern area,Apartment & Unit,"Kayla,5, ,ads,Gummie since, ,2016","29, , views"
15 lenore st,28/12/2019,1 Bathroom,2 Bedrooms,Yesterday,Yesterday,,,https://www.gumtree.com.au/s-ad/springvale/property-for-rent/house-for-rent-in-springvale/1234985639,,,"$1,500",,"A two bed room- plus a study house available for rent in late December. Close proximity to Coles , primary school and walking distance to Springvale station. Call or text to ******4283 for further enquiry. Inspection opened today 1st of December from 5.30pm to 6pm",House for rent in Springvale,House,"Pov,Gummie since, ,2017","108, , views"
